setup,n_seed,test/acc,test/acc_std,test/auprc,test/auprc_std,test/auroc,test/auroc_std,test/bal_acc,test/bal_acc_std,test/f1_macro,test/f1_macro_std,test/mcc,test/mcc_std,inference_ms_per_doc,trainable_params
imcs21_gnn_g128_both,5,0.5978,0.0096,0.6554,0.0107,0.9287,0.0025,0.6117,0.0123,0.6072,0.0106,0.5502,0.0105,3.087,469707
imcs21_gnn_g128_knn,5,0.5901,0.0140,0.6504,0.0112,0.9279,0.0031,0.6029,0.0093,0.5959,0.0099,0.5420,0.0155,3.079,469707
imcs21_gnn_g128_sequential,5,0.6160,0.0134,0.6830,0.0135,0.9338,0.0028,0.6301,0.0099,0.6196,0.0154,0.5713,0.0138,1.832,469707
imcs21_gnn_g64_both,5,0.5887,0.0198,0.6487,0.0188,0.9266,0.0038,0.6018,0.0216,0.5932,0.0211,0.5407,0.0213,3.265,469707
imcs21_gnn_g64_knn,5,0.6072,0.0113,0.6600,0.0092,0.9283,0.0027,0.6141,0.0134,0.6133,0.0146,0.5600,0.0126,3.246,469707
imcs21_gnn_g64_sequential,5,0.6000,0.0129,0.6670,0.0134,0.9293,0.0015,0.6127,0.0116,0.6084,0.0181,0.5545,0.0137,1.866,469707
imcs21_mil_g128,5,0.6256,0.0144,0.6950,0.0141,0.9394,0.0030,0.6304,0.0222,0.6276,0.0177,0.5813,0.0158,0.499,496139
imcs21_mil_g64,5,0.6123,0.0160,0.6837,0.0092,0.9361,0.0020,0.6182,0.0131,0.6161,0.0155,0.5664,0.0174,0.504,496139
imcs21_whole_text_g64,5,0.6972,0.0134,0.7507,0.0072,0.9444,0.0049,0.7068,0.0112,0.7058,0.0119,0.6602,0.0148,25.148,102566794
